intro;intro-VPL;methods;methods-VPL;encap;encap-VPL;constructors;constructors-VPL;classes1;classes1-VPL;classes2;classes2-VPL;static;static-VPL;inher;inher-VPL;polymorphism;polymorphism-VPL;intro-VPL;methods-VPL-f;encap-VPL-f;constructors-VPL-f;classes2-VPL-f;static-VPL-f;inher-VPL-f;polymorphism-VPL-f;sum_vpl
85;20;68;80;20;70;54;125;0;0;40;0;0;30;40;0;10;0;20;80;70;125;0;30;0;0;642
107;60;98;100;20;0;50;41;0;0;0;0;50;30;6;0;0;0;60;100;0;41;0;30;0;0;562
98;40;160;98;20;40;0;30;0;0;0;0;0;0;0;0;0;0;40;98;40;30;0;0;0;0;486
50;0;60;0;30;0;50;0;0;0;40;93;40;70;40;0;10;0;0;0;0;0;93;70;0;0;483
97;20;0;100;10;70;0;124;0;0;0;0;0;30;0;0;0;0;20;100;70;124;0;30;0;0;451
10;20;0;140;50;40;0;60;0;0;0;0;10;70;0;30;0;0;20;140;40;60;0;70;30;0;430
10;20;0;140;50;40;0;60;0;0;0;0;10;70;0;30;0;0;20;140;40;60;0;70;30;0;430
0;60;0;60;10;70;0;98;0;0;0;0;0;40;40;30;0;0;60;60;70;98;0;40;30;0;408
71;60;93;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;183;0;0;0;0;0;0;407
0;0;0;188;0;40;0;65;0;0;0;0;0;38;0;40;0;0;0;188;40;65;0;38;40;0;371
85;0;128;80;26;34;0;0;0;0;0;0;0;0;0;0;0;0;0;80;34;0;0;0;0;0;353
107;60;0;100;0;20;0;0;0;0;0;0;0;0;0;0;0;0;60;100;20;0;0;0;0;0;287
106;60;50;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;256
102;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;182
71;0;30;40;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;161
0;0;0;90;0;40;0;30;0;0;0;0;0;0;0;0;0;0;0;90;40;30;0;0;0;0;160
97;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;157
91;20;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;40;0;0;0;0;0;0;151
40;0;0;97;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;97;10;0;0;0;0;0;147
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
0;0;0;0;20;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;50
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;20
